iter	Passed	Remaining
0	4	435
1	8	407
2	12	417
3	16	399
4	21	407
5	25	406
6	30	404
7	35	408
8	40	407
9	46	414
10	51	415
11	55	409
12	60	403
13	65	403
14	70	397
15	74	392
16	79	386
17	81	373
18	84	362
19	87	349
20	89	336
21	91	324
22	93	312
23	95	301
24	97	291
25	99	283
26	100	272
27	102	263
28	103	254
29	105	245
30	106	237
31	107	229
32	108	221
33	110	214
34	112	208
35	113	201
36	114	194
37	115	188
38	116	182
39	117	176
40	118	170
41	118	164
42	119	158
43	120	153
44	121	148
45	123	144
46	124	140
47	125	135
48	126	131
49	127	127
50	128	123
51	129	119
52	130	115
53	131	112
54	132	108
55	133	104
56	134	101
57	135	98
58	137	95
59	138	92
60	139	89
61	140	86
62	141	83
63	142	80
64	143	77
65	144	74
66	145	71
67	146	68
68	147	66
69	148	63
70	150	61
71	151	58
72	152	56
73	153	53
74	154	51
75	155	49
76	156	46
77	157	44
78	158	42
79	159	39
80	160	37
81	161	35
82	163	33
83	164	31
84	165	29
85	166	27
86	167	25
87	168	22
88	169	20
89	170	18
90	171	16
91	172	15
92	173	13
93	174	11
94	176	9
95	177	7
96	178	5
97	179	3
98	180	1
99	181	0
